'ai'ao'ni'ya'zhu'shi 爱奥尼亚柱式
'bo'xing'wa 波形瓦
'bo'zhi'tu'liao 薄质涂料
'bo'zhong'cao'ping 播种草坪
'bo'zhong'cao'zi 播种草籽
'bo'zhong'pan 播种盘
'bo'zhong'qi 播种器
'bu'an'quan 不安全
'bu'an'quan'yin'su 不安全因素
'bu'an'quan'zhuang'tai 不安全状态
'bu'ce 补测
'bu'ceng'jian'liang 布层间梁
'bu'chang 补偿
'bu'chang'dian'lu 补偿电路
'bu'chang'gui 补偿柜
'bu'chang'kuan 补偿款
'bu'chang'qi 补偿器
'bu'chang'qi'an'zhuang'ji'lu 补偿器安装记录
'bu'chang'shou'suo'hun'ning'tu 补偿收缩混凝土
'bu'chong'gui'ding 补充规定
'bu'chong'tiao'jian 补充条件
'bu'chong'tiao'kuan 补充条款
'bu'chong'tu'zhi 补充图纸
'bu'chong'xie'yi 补充协议
'bu'da'yu 不大于
'bu'deng'bian'jiao'gang 不等边角钢
'bu'deng'zhi'jiao'gang 不等肢角钢
'bu'dian 布店
'bu'dui'chen'ping'heng 不对称平衡
'bu'dun'hua 布敦化
'bu'fa'huo'di'mian 不发火地面
'bu'feng'bi'lou'ti 不封闭楼梯
'bu'feng'bi'shi'wai'lou'ti 不封闭室外楼梯
'bu'gao'chuang 布告窗
'bu'hai 布海
'bu'he'ge'xiang'chu'zhi'ji'lu 不合格项处置记录
'bu'ji 补机
'bu'ji'zhou 不击舟
'bu'jia 步架
'bu'jian 部监
'bu'jian'li'gong'cheng'shi 部监理工程师
'bu'jian'pu'zuo 补间铺作
'bu'jian'tu'ku 部件图库
'bu'jing 布景
'bu'ju 步距
'bu'jun'heng 不均衡
'bu'jun'yun'bian'xing 不均匀变形
'bu'ke'yu'jian 不可预见
'bu'ke'yu'jian'fei 不可预见费
'bu'ke'yu'jian'xiang'mu 不可预见项目
'bu'kong 部控
'bu'li'ji'jie 不利季节
'bu'liang'dao'ti 不良导体
'bu'liang'di'zhi 不良地质
'bu'liang'di'zhi'tiao'jian 不良地质条件
'bu'liang'ji'pei 不良级配
'bu'liao 布料
'bu'long'nao 补隆淖
'bu'mian'chu 不免除
'bu'mian'chu'ze'ren 不免除责任
'bu'nai'han'zhi'wu 不耐寒植物
'bu'qiang 补强
'bu'qiang'ceng 补强层
'bu'ran'jie'gou 不燃结构
'bu'ru'shi 哺乳室
'bu'shang'ren'wu'mian 不上人屋面
'bu'she'chao'gao 不设超高
'bu'she'chao'gao'de'ping'qu'xian'ban'jing 不设超高的平曲线半径
'bu'she'chao'gao'ping'qu'xian'ban'jing 不设超高平曲线半径
'bu'shi 步石
'bu'tian'bu'wa 不填不挖
'bu'ting'che 不停车
'bu'ting'che'shou'fei 不停车收费
'bu'tong'biao'gao 不同标高
'bu'wang 布网
'bu'wen'bo'li 布纹玻璃
'bu'wen'ding 不稳定
'bu'wen'ding'jie'gou 不稳定结构
'bu'xi'tou 埠西头
'bu'xian 布线
'bu'xian'guan'dao 布线管道
'bu'xiao'yu 不小于
'bu'xing'jie 步行街
'bu'xing'shang'lou'shi'gong'yu 步行上楼式公寓
'bu'xiu'gang 不锈钢
'bu'xiu'gang'ban 不锈钢板
'bu'xiu'gang'fu'shou 不锈钢扶手
'bu'xiu'gang'guan 不锈钢管
'bu'zhi'tu 布置图
'bu'zhuan 部专
'bu'zhuan'ye'jian'li'gong'cheng'shi 部专业监理工程师
'bu'zhuang 补桩
'bu'zi'wan 堡子湾
'ca'chuang'ji 擦窗机
'ca'er 擦耳
'cai'bu'jin 踩步金
'cai'du 彩度
'cai'gang'fang 彩钢房
'cai'gou'guan'li 采购管理
'cai'guang 采光
'cai'guang'ban 采光板
'cai'guang'dai 采光带
'cai'guang'jun'yun'du 采光均匀度
'cai'guang'kou 采光口
'cai'guang'ta 采光塔
'cai'guang'xi'shu 采光系数
'cai'guang'zhao 采光罩
'cai'hua 彩画
'cai'jia'gou 蔡家沟
'cai'liao 材料
'cai'liao'fen'pei'cun'fang 材料分配存放
'cai'liao'gong'ying'ji'hua 材料供应计划
'cai'liao'ji'suan'xu're'xi'shu 材料计算蓄热系数
'cai'liao'jin'chang'jian'yan'ji'lu 材料进场检验记录
'cai'liao'she'bei 材料设备
'cai'liao'she'bei'biao 材料设备表
'cai'lv'tui'la'chuang 彩铝推拉窗
'cai'pan'xi 裁判席
'cai'se'tu'liao 彩色涂料
'cai'shi'chang 菜市场
'cai'shi'chang 采石场
'cai'shi'zuo'ye 采石作业
'cai'wu'guan'li 财务管理
'cai'wu'shen'he 财务审核
'cai'wu'zhi'fu 财务支付
'cai'wu'zhi'fu'yue'bao 财务支付月报
'cai'yuan 菜园
'cai'yuan'zeng'xiao 裁员增效
'cai'zhi'bu'liang 材质不良
'can'chang'tun 蚕厂屯
'can'hao 惨嗥
'can'jian'xiang'tu 参见详图
'can'ju'gui 餐具柜
'can'ju'shi 餐具室
'can'shi 餐室
'can'ting 餐厅
'can'xing'ming'mie 残星明灭
'can'zhi 残值
'cang'chu'yong'di 仓储用地
'cang'gu 苍古
'cang'ku 仓库
'cang'ku'da'jian 仓库搭建
'cang'ku'qu 仓库区
'cang'shan'zhen 仓山镇
'cao'di'pen'shui'qi 草地喷水器
'cao'dian 草店
'cao'fu 草栿
'cao'gang 槽钢
'cao'gou 槽沟
'cao'gui 操规
'cao'he'kou 草河口
'cao'jia'ba 曹家坝
'cao'jia'bao 曹家堡
'cao'jia'huo'chang 曹家伙场
'cao'jia'wan 曹家湾
'cao'jia'ying'zi 曹家营子
'cao'kou 槽口
'cao'liu'ge'er 草六格尔
'cao'lv 糙率
'cao'miao'zi 草庙子
'cao'pi'hu'po 草皮护坡
'cao'ping 草坪
'cao'ping'dao 草坪岛
'cao'ping'jia'fei'qi 草坪加肥器
'cao'ping'qu 草坪区
'cao'ping'zhi'wu 草坪植物
'cao'sheng'zi 槽升子
'cao'tie 槽铁
'cao'tu'jie'duan 草图阶段
'cao'xing'ban 槽形板
'cao'yao'hua'tan 草药花坛
'cao'yuan'jing'guan 草原景观
'cao'yuan'sheng'tai'xi'tong 草原生态系统
'cao'zhe 槽辙
'cao'zi'li 曹子里
'cao'zuo'dian'yuan 操作电源
'cao'zuo'shi'jian 操作时间
'cao'zuo'shou 操作手
'cao'zuo'shou'xu 操作手续
'cao'zuo'zou'lang 操作走廊
'ce'chang 测长
'ce'dian 测点
'ce'ding'yi 测定仪
'ce'gua'zhe'die'men 侧挂折叠门
'ce'guang 侧光
'ce'hui 测回
'ce'hui 测绘
'ce'ji'lei 侧击雷
'ce'jiao 侧脚
'ce'ju'yi 测距仪
'ce'kong'qi 测孔器
'ce'lang 侧廊
'ce'li 侧力
'ce'li'mian 侧立面
'ce'liang 测量
'ce'liang'diao'gan 测量吊杆
'ce'liang'dui 测量队
'ce'liang'fang'xian 测量放线
'ce'liang'gong'cheng'shi 测量工程师
'ce'liang'gui'fan 测量规范
'ce'liang'jian'li 测量监理
'ce'liang'ping'cha 测量平差
'ce'liang'ren'yuan 测量人员
'ce'liang'wu'cha 测量误差
'ce'liang'yan'shou 测量验收
'ce'liang'yuan 测量员
'ce'liang'zu 测量组
'ce'mian'cai'guang 侧面采光
'ce'mian'chui'zhi'du 侧面垂直度
'ce'mo 侧模
'ce'mu'ban 侧模板
'ce'pen'shi'pen'sa'tou 侧喷式喷洒头
'ce'qian 测钎
'ce'qiang 侧墙
'ce'qiang 测强
'ce'qiang'shi'zi'dong'pen'sa'tou 侧墙式自动喷洒头
'ce'she 测设
'ce'shi 侧石
'ce'shi'dian 测试点
'ce'shi'huan'xian 测试环线
'ce'shi'qia'zi 测试卡子
'ce'shi'tu 侧视图
'ce'su'chuan'gan'qi 测速传感器
'ce'su'fa'dong'ji 测速发动机
'ce'su'lei'da 测速雷达
'ce'suan 测算
'ce'suo 厕所
'ce'tai 侧台
'ce'tian'chuang 侧天窗
'ce'xian'bu'zhi 测线布置
'ce'xiang'chuan'sheng 侧向传声
'ce'xiang'fan'she'sheng 侧向反射声
'ce'xiang'gang'du 侧向刚度
'ce'xiang'gang'du'bi 侧向刚度比
'ce'xiang'song'feng 侧向送风
'ce'xiang'wei'yi 侧向位移
'ce'xiang'zhao'ming 侧向照明
'ce'ya'li 侧压力
'ce'yi 侧移
'ce'zhan 测站
'ce'zhan'gui'xin 测站归心
'ce'zhong 测重
'ce'zhuang 侧撞
'ce'zu 测阻
'ceng'ci 层次
'ceng'ding 层顶
'ceng'gao 层高
'ceng'gao'biao 层高表
'ceng'hou 层厚
'ceng'jian'liang 层间梁
'ceng'jian'wei'yi 层间位移
'ceng'jian'wei'yi'bi 层间位移比
'ceng'pu'fa 层铺法
'ceng'shu 层数
'ceng'ya'cai'liao 层压材料
'cha'bai'hu 叉百户
'cha'ban 插板
'cha'bu'ga 查布嘎
'cha'chang 茶厂
'cha'che 叉车
'cha'dian 茶淀
'cha'er'han 察尔汗
'cha'gan'ha'da 查干哈达
'cha'gan'mang'he 查干芒和
'cha'gan'nuo'er 查干诺尔
'cha'gan'te'ge 查干特格
'cha'guan 茶馆
'cha'jiang 岔江
'cha'jie'ban 插接板
'cha'jie'bu'liang 插接不良
'cha'jie'guan 插接管
'cha'jin 插筋
'cha'kou 插口
'cha'kou'jie'tou 插口接头
'cha'piao'yuan 查票员
'cha'qie'xiao 插切销
'cha'qu 岔区
'cha'ru'shi 插入式
'cha'ru'shi'zhen'dao'qi 插入式振捣器
'cha'ru'sun'shi 插入损失
'cha'shou 叉手
'cha'su'qi 察素齐
'cha'su'qi 差速器
'cha'su'qi'zong'cheng 差速器总成
'cha'tan 岔滩
'cha'tiao'gou 茶条沟
'cha'ting 茶亭
'cha'tou 插头
'cha'tou'ban 插头板
'cha'tu 插图
'cha'xi'tan 岔西滩
'cha'xian 岔线
'cha'xiao 插销
'cha'xin 岔心
'cha'xin'hu 岔心护
'cha'xun'ying'da'qi 查询应答器
'cha'zhen 岔枕
'cha'zhong'jue'yuan 岔中绝缘
'cha'zhu'zao 叉柱造
'cha'zuo 插座
'chai'chu 拆除
'chai'chu'dao'guan 拆除导管
'chai'chu'fei'yong 拆除费用
'chai'chu'zuan'gan 拆除钻杆
'chai'dao'guan 拆导管
'chai'gan 拆杆
'chai'gang 柴岗
'chai'he 柴河
'chai'jian'bi 拆建比
'chai'lv 柴滤
'chai'mo 拆模
'chai'mu'ban 拆模板
'chai'qian 拆迁
'chai'you'ji'fa'dian'zhan 柴油机发电站
'chai'you'lv'qing'qi 柴油滤清器
'chai'you'lv'xin 柴油滤芯
'chan'biao 觇标
'chan'dao 铲刀
'chan'dao'qing'xie'you'gang 铲刀倾斜油缸
'chan'dao'ti'sheng'you'gang 铲刀提升油缸
'chan'dong'hui'sheng 颤动回声
'chan'he'liao 掺合料
'chan'hui 掺灰
'chan'jia'ji 掺加剂
'chan'ke'bing'fang 产科病房
'chan'liang'ding'e 产量定额
'chan'pai 觇牌
'chan'pin'fan'wei 产品范围
'chan'pin'fen'xi 产品分析
'chan'pin'gui'ge 产品规格
'chan'rao'zhi'wu 缠绕植物
'chan'ye'jie'gou 产业结构
'chan'yun 铲运
'chan'yun'ji 铲运机
'chan'zhu'zao 缠柱造
'chang'bai'xian 长白线
'chang'ban 厂拌
'chang'ban'fa 厂拌法
'chang'ban'fa'shi'gong 厂拌法施工
'chang'chang 长常
'chang'cheng'liang 长城梁
'chang'chong 长冲
'chang'chun 长春
'chang'chun'dong 长春东
'chang'chun'nan 长春南
'chang'di 场地
'chang'di'bian'xian 场地边线
'chang'di'di'mao 场地地貌
'chang'di'di'xing 场地地形
'chang'di'fang'wei 场地方位
'chang'di'fen'xi 场地分析
'chang'di'gong'cheng 场地工程
'chang'di'gui'hua 场地规划
'chang'di'lei'bie 场地类别
'chang'di'mian'ji 场地面积
'chang'di'ping'mian'tu 场地平面图
'chang'di'ping'zheng 场地平整
'chang'di'qing'li 场地清理
'chang'di'she'shi 场地设施
'chang'di'tong'da'du 场地通达度
'chang'di'tu 场地土
'chang'di'wei'zhi 场地位置
'chang'di'ying'hua 场地硬化
'chang'di'zhun'bei 场地准备
'chang'dian 长甸
'chang'fa'liao 厂发料
'chang'fa'tun 长发屯
'chang'fang 厂房
'chang'gan'guan'ru'yi 长杆贯入仪
'chang'gang'gui 长钢轨
'chang'gang'ling 长岗岭
'chang'gui 长轨
'chang'gui'lie'che 长轨列车
'chang'gui'tiao'han'jie 长轨条焊接
'chang'han 厂汗
'chang'he'ba 长河坝
'chang'he'bian 长河碥
'chang'hu'xian'deng 长弧氙灯
'chang'jian'lian'xi'dian'lu 场间联系电路
'chang'jiang'bu 长江埠
'chang'jing'xian 长荆线
'chang'kao'yi 长靠椅
'chang'kua 长跨
'chang'kuan'bi 长宽比
'chang'kuang'dao'lu 厂矿道路
'chang'kuang'dao'lu'dang'che'dui 厂矿道路挡车堆
'chang'kuang'dao'lu'fang'hua'dui 厂矿道路防滑堆
'chang'kuang'dao'lu'zu'che'di 厂矿道路阻车堤
'chang'lian 长链
'chang'luo'xuan'guan'zhu'zhuang 长螺旋灌注桩
'chang'lv'lv'li 常绿绿篱
'chang'lv'zhi'wu 常绿植物
'chang'nei'ci'gan'dao 厂内次干道
'chang'nei'dao'lu 厂内道路
'chang'nei'zhi'dao 厂内支道
'chang'nei'zhu'gan'dao 厂内主干道
'chang'nong 长农
'chang'ping'bei 昌平北
'chang'po'ling 长坡岭
'chang'qi'gang'du 长期刚度
'chang'qian'qu 厂前区
'chang'sha'ba 长沙坝
'chang'sha'geng 长沙埂
'chang'shan'bao 长山堡
'chang'shan'tun 长山屯
'chang'she'ren'gong'fu'zhu'zhao'ming 常设人工辅助照明
'chang'sheng'gou 长胜沟
'chang'shi 长石
'chang'shui'zhun'guan 长水准管
'chang'si 长四
'chang'suo 场所
'chang'suo'gan 场所感
'chang'tan'gou 长潭沟
'chang'ting'zhen 长汀镇
'chang'tu'dian'hua'ju 长途电话局
'chang'tu'xian 长图线
'chang'wai'dao'lu 厂外道路
'chang'wai'gong'cheng 场外工程
'chang'xi'bi 长细比
'chang'ying 长营
'chang'zhen 长畛
'chang'zhi'bei 长治北
'chang'zhi'fa'guang 场致发光
'chang'zhi'fa'guang'deng 场致发光灯
'chang'zhi'xuan'ze 场址选择
'chang'zhou'shi'gao'zhi 常州市高指
'chang'zhu'ren'kou 常住人口
'chao'bao 超爆
'chao'bei 巢北
'chao'biao 超标
'chao'chang 超长
'chao'chang'jie'gou 超长结构
'chao'chang'lie'che 超长列车
'chao'che'che'dao 超车车道
'chao'che'dao 超车道
'chao'che'shi'ju 超车视距
'chao'er'ji 超二级
'chao'er'ji'gong'lu 超二级公路
'chao'fu'he'yun'xing 超负荷运行
'chao'gao 超高
'chao'gao'ceng'jian'zhu 超高层建筑
'chao'gao'huan'he'duan 超高缓和段
'chao'gao'pin 超高频
'chao'gao'zhi 超高值
'chao'ge'wen'duo'er 朝格温多尔
'chao'guan 超灌
'chao'gui 超规
'chao'ji'shi'chang 超级市场
'chao'jin 超筋
'chao'jin'chao'xian 超筋超限
'chao'jin'liang 超筋梁
'chao'jing'ding 超静定
'chao'jing'ding'jie'gou 超静定结构
'chao'mi 超密
'chao'pei'jin 超配筋
'chao'pei'jin'xin'xi 超配筋信息
'chao'ping 抄平
'chao'qian'zhi'hu 超前支护
'chao'sheng'bo'kong'zhi'zi'dong'men 超声波控制自动门
'chao'sheng'hui'tan 超声回弹
'chao'sheng'hui'tan'fa 超声回弹法
'chao'sheng'jian'ce 超声检测
'chao'shi 潮湿
'chao'wa 超挖
'chao'wu'lei'dui'shuang'jiao'xian 超五类对双绞线
'chao'wu'xian 朝乌线
'chao'xi'he'liu 潮汐河流
'chao'xian 超限
'chao'xian'che 超限车
'chao'xian'huo'wu'lie'che 超限货物列车
'chao'xian'lie'che 超限列车
'chao'xiang 朝向
'chao'yi'ji 超一级
'chao'yi'ji'gong'lu 超一级公路
'chao'yuan 朝原
'chao'zai 超载
'chao'zai'yu'ya 超载预压
'che'chang 撤场
'che'dao 车道
'che'dao'kuan'du 车道宽度
'che'dao'xian 车道线
'che'hao'yuan 车号员
'che'ji'lian'kong 车机联控
'che'jia'ying'zi 车家营子
'che'jia'zi 坼架子
'che'jian 车间
'che'jian'jing'ju 车间净距
'che'ju'que'ren 车距确认
'che'ku 车库
'che'ku'fan'men 车库翻门
'che'li'gong'zuo'chang'suo 撤离工作场所
'che'liang'duan 车辆段
'che'liang'he'zai'biao'zhun 车辆荷载标准
'che'liang'jian'jing'ju 车辆间净距
'che'liang'shi'gu'lv 车辆事故率
'che'liang'yun'shu'an'quan 车辆运输安全
'che'lie 车列
'che'liu 车流
'che'liu'liang 车流量
'che'liu'mi'du 车流密度
'che'pi 扯皮
'che'tai 车台
'che'tong 车统
'che'tou'jian'ju 车头间距
'che'tou'shi'ju 车头时距
'che'wu'duan 车务段
'che'xing'dao 车行道
'che'xing'dao'lv'hua 车行道绿化
'che'zhan'biao 车站表
'che'zhan'da'ting 车站大厅
'che'zhan'kong'zhi 车站控制
'che'zhan'she'ji 车站设计
'che'zhan'zhi'ban'yuan 车站值班员
'che'zhe 车辙
'che'zhe'shi'yan 车辙试验
'che'zhuan'wan 车转湾
'chen'chun 沉椿
'chen'dian'chi 沉淀池
'chen'dian'hou'du 沉淀厚度
'chen'dian'tu 沉淀土
'chen'dian'tu'hou'du 沉淀土厚度
'chen'guan 沉管
'chen'guan'fa 沉管法
'chen'guan'guan'zhu'zhuang 沉管灌注桩
'chen'guan'guan'zhu'zhuang'ji'chu 沉管灌注桩基础
'chen'guan'ying 陈官营
'chen'jia'hu 陈家湖
'chen'jiang 沉降
'chen'jiang'biao 沉降标
'chen'jiang'cha 沉降差
'chen'jiang'dian 沉降点
'chen'jiang'feng 沉降缝
'chen'jiang'guan'ce 沉降观测
'chen'jiang'guan'ce'biao 沉降观测标
'chen'jiang'guan'ce'dian 沉降观测点
'chen'jiang'su'lv 沉降速率
'chen'jiang'zhi 沉降值
'chen'jing 沉井
'chen'jing'ji'chu 沉井基础
'chen'lie'pin'zhao'ming 陈列品照明
'chen'lie'shi 陈列室
'chen'mai'fa 沉埋法
'chen'ming 晨明
'chen'qi 衬砌
'chen'qi'gong 衬砌拱
'chen'qi'hun'ning'tu 衬砌混凝土
'chen'qing 辰清
'chen'sha'chi 沉沙池
'chen'sha'chi 沉砂池
'chen'she 陈设
'chen'tou'luo'shuan 沉头螺栓
'chen'tou'luo'si 沉头螺丝
'chen'tou'mu'luo'shuan 沉头木螺栓
'chen'xian 沉陷
'chen'xiang 沉箱
'chen'xiang'tun 陈相屯
'chen'zha 沉渣
'chen'zha'hou'du 沉渣厚度
'chen'zhuang 沉桩
'cheng'an'pu 承安铺
'cheng'bang 城邦
'cheng'bao 城堡
'cheng'bao 承包
'cheng'bao'fang 承包方
'cheng'bao'gong'cheng 承包工程
'cheng'bao'ren'cheng'dan 承包人承担
'cheng'bao'shang 承包商
'cheng'bao'shang'cheng'dan 承包商承担
'cheng'ben'fu'jia'shou'fei 成本附加收费
'cheng'ben'ji'hua 成本计划
'cheng'ben'kong'zhi 成本控制
'cheng'cha'guan 承插管
'cheng'cha'jie'tou 承插接头
'cheng'cha'lian'jie 承插连接
'cheng'dan'ze'ren 承担责任
'cheng'de'bi'shu'shan'zhuang 承德避暑山庄
'cheng'de'dong 承德东
'cheng'du'dong 成都东
'cheng'du'nan 成都南
'cheng'du'rao'cheng'gao'su 成都绕城高速
'cheng'fa'bao'fang'shi 承发包方式
'cheng'gan'tiao'gao'chang'di 撑竿跳高场地
'cheng'gao'zi 成高子
'cheng'gui 城轨
'cheng'guo'biao 成果表
'cheng'hao 城濠
'cheng'ji'xian 城鸡线
'cheng'jia 程家
'cheng'jia'bao 程家堡
'cheng'ju'gui'duan 成局贵段
'cheng'ju'yu'duan 成局渝段
'cheng'ke'dian'ti 乘客电梯
'cheng'kong 成孔
'cheng'kong'dian'yuan 程控电源
'cheng'kong'fang'fa 成孔方法
'cheng'kong'gong'yi 成孔工艺
'cheng'kong'qi 程控器
'cheng'kong'tai 程控台
'cheng'kou 承口
'cheng'li'suo 承力索
'cheng'pin'ku 成品库
'cheng'shi 城市
'cheng'shi'bian'yuan 城市边缘
'cheng'shi'bing 城市病
'cheng'shi'bu'ju 城市布局
'cheng'shi'ce'liang 城市测量
'cheng'shi'chong'jian 城市重建
'cheng'shi'ci'gan'lu 城市次干路
'cheng'shi'dao'lu 城市道路
'cheng'shi'dao'lu'biao'xian 城市道路标线
'cheng'shi'dao'lu'mian'ji'lv 城市道路面积率
'cheng'shi'dao'lu'xi'tong 城市道路系统
'cheng'shi'di'li'xue 城市地理学
'cheng'shi'dian'li'wang 城市电力网
'cheng'shi'dian'li'xi'tong 城市电力系统
'cheng'shi'fa'zhan'zhan'lue 城市发展战略
'cheng'shi'fang'hong 城市防洪
'cheng'shi'fang'zai 城市防灾
'cheng'shi'fang'zhen 城市防震
'cheng'shi'fen'lei 城市分类
'cheng'shi'feng'mao 城市风貌
'cheng'shi'fu'she'li 城市辐射力
'cheng'shi'gai'jian 城市改建
'cheng'shi'gei'shui 城市给水
'cheng'shi'gei'shui'xi'tong 城市给水系统
'cheng'shi'geng'xin 城市更新
'cheng'shi'gong'dian 城市供电
'cheng'shi'gong'gong'jiao'tong'xi'tong 城市公共交通系统
'cheng'shi'gong'neng'fen'qu 城市功能分区
'cheng'shi'gong're 城市供热
'cheng'shi'gong're'xi'tong 城市供热系统
'cheng'shi'gong'shui'an'quan 城市供水安全
'cheng'shi'gong'yuan 城市公园
'cheng'shi'gong'yuan'xi'tong 城市公园系统
'cheng'shi'guang'chang 城市广场
'cheng'shi'gui'dao'jiao'tong 城市轨道交通
'cheng'shi'gui'hua 城市规划
'cheng'shi'gui'hua'biao'zhun 城市规划标准
'cheng'shi'gui'hua'fa'gui 城市规划法规
'cheng'shi'gui'hua'gang'yao 城市规划纲要
'cheng'shi'gui'hua'guan'li 城市规划管理
'cheng'shi'gui'hua'li'lun 城市规划理论
'cheng'shi'gui'hua'qu 城市规划区
'cheng'shi'gui'hua'shi'shi 城市规划实施
'cheng'shi'gui'mo 城市规模
'cheng'shi'he'xin 城市核心
'cheng'shi'hua 城市化
'cheng'shi'hua'shui'ping 城市化水平
'cheng'shi'huan'jing 城市环境
'cheng'shi'huan'jing'bao'hu 城市环境保护
'cheng'shi'huan'jing'wei'sheng 城市环境卫生
'cheng'shi'ji'li 城市肌理
'cheng'shi'jian'cheng'qu 城市建成区
'cheng'shi'jian'she'guan'li 城市建设管理
'cheng'shi'jian'zhu'fa'gui 城市建筑法规
'cheng'shi'jian'zhu'xiao'pin 城市建筑小品
'cheng'shi'jiao'tong 城市交通
'cheng'shi'jie'gou 城市结构
'cheng'shi'jing'guan 城市景观
'cheng'shi'jing'ji 城市经济
'cheng'shi'jing'ji'xue 城市经济学
'cheng'shi'kan'cha 城市勘察
'cheng'shi'ke'xue 城市科学
'cheng'shi'kong'jian 城市空间
'cheng'shi'kuai'su'lu 城市快速路
'cheng'shi'li'shi'bao'hu 城市历史保护
'cheng'shi'lv'di 城市绿地
'cheng'shi'lv'di'xi'tong'gui'hua 城市绿地系统规划
'cheng'shi'lv'hua'fu'gai'lv 城市绿化覆盖率
'cheng'shi'mei'xue 城市美学
'cheng'shi'pai'shui 城市排水
'cheng'shi'pai'shui'xi'tong 城市排水系统
'cheng'shi'ping'jia 城市评价
'cheng'shi'qi'hou 城市气候
'cheng'shi'qun 城市群
'cheng'shi'ran'qi'gong'ying'xi'tong 城市燃气供应系统
'cheng'shi'ren'jun'dao'lu'mian'ji 城市人均道路面积
'cheng'shi'ren'kou 城市人口
'cheng'shi'ren'kou'fen'bu 城市人口分布
'cheng'shi'ren'kou'gui'mo 城市人口规模
'cheng'shi'ren'kou'liu'dong 城市人口流动
'cheng'shi'ren'kou'xue 城市人口学
'cheng'shi'ren'kou'yu'ce 城市人口预测
'cheng'shi'she'hui'xue 城市社会学
'cheng'shi'she'ji 城市设计
'cheng'shi'she'qu 城市社区
'cheng'shi'sheng'tai 城市生态
'cheng'shi'sheng'tai'xi'tong 城市生态系统
'cheng'shi'shi 城市史
'cheng'shi'shou'wei'du 城市首位度
'cheng'shi'shuai'tui 城市衰退
'cheng'shi'tong'xin'xi'tong 城市通信系统
'cheng'shi'wen'ti 城市问题
'cheng'shi'wu'shui 城市污水
'cheng'shi'xi'yin'li 城市吸引力
'cheng'shi'xiang'xi'gui'hua 城市详细规划
'cheng'shi'xing'shi 城市形式
'cheng'shi'xing'tai 城市形态
'cheng'shi'xing'ti'huan'jing 城市形体环境
'cheng'shi'xing'xiang 城市形象
'cheng'shi'xing'zhi 城市性质
'cheng'shi'xuan'zhi 城市选址
'cheng'shi'yi'shu 城市艺术
'cheng'shi'yong'di 城市用地
'cheng'shi'yong'di'xuan'ze 城市用地选择
'cheng'shi'yong'dian'fu'he 城市用电负荷
'cheng'shi'yong'shui 城市用水
'cheng'shi'zai'hai'jiu'yuan 城市灾害救援
'cheng'shi'zao'sheng 城市噪声
'cheng'shi'zhi'lu 城市支路
'cheng'shi'zhi'neng 城市职能
'cheng'shi'zhu'gan'lu 城市主干路
'cheng'shi'zong'ti'gui'hua 城市总体规划
'cheng'shi'zu'tuan 城市组团
'cheng'tai 承台
'cheng'tou 撑头
'cheng'wu 成五
'cheng'wu'yuan 乘务员
'cheng'xiang'qing'jie 城乡清洁
'cheng'xing 成型
'cheng'xu'kai'guan 程序开关
'cheng'yu 成渝
'cheng'yu'xian 成渝线
'cheng'zai 承载
'cheng'zai'ban 承载板
'cheng'zai'ban'shi'yan 承载板试验
'cheng'zai'bi 承载比
'cheng'zai'li 承载力
'cheng'zai'long'gu 承载龙骨
'cheng'zai'neng'li 承载能力
'cheng'zhen'ji'ju'qu 城镇集聚区
'cheng'zhen'ti'xi 城镇体系
'cheng'zhen'ti'xi'gui'hua 城镇体系规划
'cheng'zhong 承重
'cheng'zhong'ceng 承重层
'cheng'zhong'ge'qiang 承重隔墙
'cheng'zhong'jie'gou 承重结构
'cheng'zhong'qiang 承重墙
'cheng'zhong'qiang'jie'gou 承重墙结构
'cheng'zhong'zhuan'qiang 承重砖墙
'cheng'zhuang 成桩
'cheng'zhuang'gong'yi 成桩工艺
'cheng'zi'tan 城子坦
'cheng'zu 承租
'cheng'zu'fang 承租方
'cheng'zu'ren 承租人
'chi'ban 齿板
'chi'bi 池壁
'chi'bian'zuo'ren'ai'qiang 池边坐人矮墙
'chi'cun'xian 尺寸线
'chi'dao'xi 迟到席
'chi'du 尺度
'chi'feng'dong 赤峰东
'chi'feng'xi 赤峰西
'chi'he 持荷
'chi'he 池河
'chi'he'shi'jian 持荷时间
'chi'li 持力
'chi'li'ceng 持力层
'chi'lun'chang 齿轮厂
'chi'lun'you 齿轮油
'chi'mu'ling 赤木岭
'chi'quan 齿圈
'chi'shi'can 迟时参
'chi'shi'jian 迟时间
'chi'wei 鸱尾
'chi'xu'gai'jin 持续改进
'chi'zheng'shang'gang 持证上岗
'chi'zuo'ceng 池座层
'chi'zuo'qian'pai 池座前排
'chong'dian'zhan 充电站
'chong'fen'bi'yao 充分必要
'chong'fen'bi'yao'tiao'jian 充分必要条件
'chong'fen'pei 重分配
'chong'fu 重复
'chong'fu'jie'di 重复接地
'chong'gou 冲沟
'chong'ji 冲击
'chong'ji'dian'liu 冲击电流
'chong'ji'tu 冲积土
'chong'ji'xi'shu 冲击系数
'chong'ji'zuan 冲击钻
'chong'jiao 虫胶
'chong'kong 冲孔
'chong'qi'jie'gou 充气结构
'chong'qie 冲切
'chong'qie'po'huai 冲切破坏
'chong'qing'bei 重庆北
'chong'qing'xi 重庆西
'chong'shi 冲蚀
'chong'shua 冲刷
'chong'shua'xi'shu 冲刷系数
