'a'bi'de 阿比德
'si'ci'wu'qian'you'bu'zhi 死此五千犹不止
'si'di'hui'er'jian'chan 思低回而蹇产
'si'fu'hua'jian'bi'jian'hong 四幅花笺碧间红
'si'gu'ren'xi'mo'wo'e 思古人兮莫我遌
'si'hai'heng'liu'zu'xing'lu 四海横流阻行路
'si'hai'yi'pian'zhou 四海一扁舟
'si'ji'an'tuo 四极安托
'si'jiao'mang'cang'sheng'duan'lie'xi 四郊莽苍声断裂兮
'si'ma'bing'fa'wang'yi'jiu 司马兵法亡亦久
'si'men'yu'jin'shan'ruo'chai 寺门欲近山若拆
'si'miao'miao'xi'lu'man'man 思渺渺兮路曼曼
'si'mu'chi'xi 四牡驰兮
'si'ren'yong'gui 斯人永归
'si'shan'you'niao'ti'shen'chun 四山幽鸟啼深春
'si'shi'ang'cang'qu'qi'chi 死士昂藏躯七尺
'si'shi'jin'chou'you'qian'bai 死士今仇有千百
'si'shi'lai'zi'a'la'bo 死士来自阿拉伯
'si'shi'si'shi'dang'qi'shi 死士死士当其时
'si'shi'si'shi'jie'dui'lai 死士死士结队来
'si'shi'si'shi'rang'bi'chu 死士死士攘臂出
'si'shi'si'shi'ruo'ru'ying 死士死士弱如婴
'si'shi'si'shi'you'gu'di 死士死士有古敌
'si'shi'si'shi'you'jin'chou 死士死士有今仇
'si'shi'zhi'guo'xi'pin'ji 死士之国昔贫瘠
'si'wo'gu'ren'xi'huai'wo'qin 思我故人兮怀我亲
'si'wo'gu'ren'xi'xing'lu'nan 思我故人兮行路难
'si'xu'gang'ling'qiu'xing'chun 四序纲领秋兴春
'si'yan'bing'xue'cui'shou'yi 似言冰雪催授衣
'si'yan'shu'yu'song'qiu'sheng 四檐疏雨送秋声
'si'you'fan'ying'lai'wei'mang 似有帆影来微茫
'si'yue'she 四月蛇
'si'zhi'pao'xiao'er'nue'kuang 死之咆哮而虐狂
'si'zhu'dan'qing'tu'xie'chu 似著丹青图写出
'si'zi'jin'er'bu'ke'de 思自近而不可得
'song'dai'zhong'jing'shen 嵩岱钟精神
'song'ju'huang'wu'gui'ji'chi 松菊荒芜归计迟
'song'jun'yi'yang'guan'duo'lei'zhi'sheng 送君以阳关堕泪之声
'song'jun'zhe'zi'ya'er'fan 送君者自崖而反
'song'li'lei'bu'zhi 送吏泪不止
'song'qi'sheng'ming'chi'xiao'li 送起声名赤霄里
'song'shu'sheng'dao'yu'xing 宋书升祷雨行
'song'yan'sa'luo'cheng'zhu'yu 松烟洒落成珠玉
'sou'sou'yu'zuo'song'feng'ming 飕飕欲作松风鸣
'su'e'chan'wa'kua'yu'tu 素娥刬袜跨玉兔
'su'shi'bi'yi'an'gan'dang 俗史辟易安敢当
'su'shi'cui'shi'guan 苏轼催试官
'su'shi'shi'yuan'jian'cha 苏轼试院煎茶
'su'wei'ai'kui'ru'shan'beng 苏维埃溃如山崩
'su'zhe'he'zi'zhan'jian'cha 苏辙和子瞻煎茶
'su'zhe'shui'lao'ting'ge 苏辙水乐亭歌
'sui'chu'de'qian'gong'yi'zui 随处得钱供一醉
'sui'dang'sheng'shi'shang'kuan'rong 虽当圣世尚宽容
'sui'feng'ran'ran'bu'ying'cun 随风冉冉不盈寸
'sui'feng'xiu'er'shui'shi 遂风休而水释
'sui'ge'qian'nian'ru'yi'xi 虽隔千年如一夕
'sui'ge'wan'li'ru'yi'shi 虽隔万里如一室
'sui'han'zhi'cao'xi'jiong'jiong'xin'qi 岁寒之操兮炯炯心期
'sui'han'zhi'ge'xi'sheng'sheng'ji'lie 岁寒之歌兮声声激烈
'sui'han'zhi'ju'yan'ran'ru'du 岁寒之句俨然如睹
'sui'han'zhi'tang'xi'zu'yi'zi'xiu 岁寒之堂兮足以自修
'sui'han'zhi'zhi'xi'ning'bu'wei'xing 岁寒之知兮宁不谓性
'sui'ji'dan'xi'bu'gui'bi 岁既单兮不圭币
'sui'jiang'mu 岁将暮
'sui'jing'suo'zao'jie'shi'you 随井所凿皆石油
'sui'jiu'si'qi'you'bu'ren'wei 虽九死其犹不忍为
'sui'jiu'si'qi'you'wei'hui 虽九死其犹未悔
'sui'lai'zhe'you'bu'ke'dai'xi 虽来者犹不可待兮
'sui'mu'san'shi'qiu 岁暮三十裘
'sui'piao'piao'qi'ri'bai'xi 虽飘飘其日败兮
'sui'ran'liu'zhou'la'shuo'yi'shen'xian 虽然柳州蜡说义甚显
'sui'ran'you'yuan'ji'ci'chun 虽然犹愿及此春
'sui'ren'ren'er'lao'zhi 岁荏荏而老至
'sui'she'jiang'shan'bu'xiang'jie 虽涉江山不相借
'sui'shi'hou'tu'dong'nan'pian 遂使后土东南偏
'sui'wei'qi'zhi'yu 虽委弃之余
'sui'wu'hao'shi'qian'che'song 虽无豪士千车送
'sui'wu'si'zhi'jiu'qing'zhi'gui'hua 虽无四至九卿之规画
'sui'xi'que'lai'guan'shi'jian 随喜却来观世间
'sui'yang'lin'nan'qi'sai'chong 睢阳临难气塞充
'sui'you'tu'na'wu'kui'ying 虽有吐纳无亏盈
'sui'yue'bu'dai'ren 岁月不贷人
'sun'rao'xi'gui'ji 荪桡兮桂楫
'suo'guo'han'zi'tu'sheng'liao 所过汗渍土生潦
'suo'li'yu'bian'sheng 蓑笠与鞭绳
'suo'si'xi'wei'zhi 所思兮未知
'ta'cang'long'xi'shu'dong 踏苍龙兮倏东
'ta'nian'chi'shi'jin'hua'lu 他年叱石金华路
'tai'bai'xiang'feng'fa'chao'xue 太白相逢发嘲谑
'tai'gong'lv'hou'qu'bu'gui 太公吕后去不归
'tai'ji'dong'xi'liang'yi'fen 太极动兮两仪分
'tai'shan'e'e'shui'shang'shang 泰山峨峨水汤汤
'tai'shi'cai'shi'tang'jian'qu 太史采诗傥见取
'tai'si'chou'nv'shi'qian'huang 台似丑女施铅黄
'tai'yang'xi'wai'yu'hun'meng 太阳系外宇昏瞢
'tan'fu'yi'zhong'shen'chun'gu 潭府邑中甚淳古
'tan'gong'hai'neng'xiang'zhong'shang 贪功害能相中伤
'tan'kan'an'du'chang'qin'ye 贪看案牍常侵夜
'tang'bing'yi'zhai'yu 汤饼一斋盂
'tang'qian'bu'ru'hong'fen'yi 堂前不入红粉意
'tang'tang'ru'chun 堂堂如春
'tang'tang'zhong'ding'gong 堂堂忠定公
'tao'long'zu'jue'ba'wan'li 涛泷阻绝八万里
'tao'tao'ning'mian'yan'wei'hui 滔滔宁免言为讳
'teng'qiu'wu'jiao'jiao'yu'qu 腾虬舞蛟矫欲去
'teng'yin'shi'lv'liang'xiu'fa 藤阴诗律两秀发
'ti'kuang'xi'qian'mo 提筐兮阡陌
'ti'shi'wu'zhou 提十五州
'ti'yin'yi'er'hong'rong'xi 涕淫溢而澒溶兮
'ti'zhi'er'yong'wu'qiong'xi 体止而用无穷兮
'ti'zuo'ni'shang'yu'yi'pu 题作霓裳羽衣谱
'tian'bian'jiu'xing'tan'ji'mo 天边酒星叹寂寞
'tian'cang'cang'xi'tian'se 天苍苍兮天色
'tian'di'bi'se'wan'wu'jue 天地闭塞万物绝
'tian'di'bu'ren 天地不仁
'tian'di'chang'liu'guo'feng'shen 天地长留国风什
'tian'di'de'ye 天地德也
'tian'di'ju'mei'xi'sheng'ci'ming'yue 天地具美兮生此明月
'tian'di'shang'bu'neng'yi'chao'mo 天地尚不能以朝莫
'tian'gao'xi'cang'cang 天高兮苍苍
'tian'gao'yue'ming'lu'ni'ni 天高月明露泥泥
'tian'han'ri'duan'gong'yi'ji 天寒日短工役急
'tian'han'wan'lai'sheng'xiao'xiao 天寒万籁声萧萧
'tian'he'fu'zhi'hou'xi'er'duo'zhi'ju 天何赋之厚兮而夺之遽
'tian'hu'zai'ren'xia 天忽在人下
'tian'hun'di'hei'sui'shui'mei 天昏地黑睢水湄
'tian'ji'shen'xi'zhang 天机神翕张
'tian'jin'qiao'shang'chuan'diao'dou 天津桥上传刁斗
'tian'jin'qiao'shang'she'jin'ku 天津桥上舌尽刳
'tian'kai'di'pi'wan'wu'zhuo 天开地辟万物茁
'tian'kai'jiu'zhou 天开九州
'tian'lie'er'qing'xie 天裂而倾泻
'tian'qi'an'dan'sha'qi'hei 天气黯淡杀气黑
'tian'qi'yi'qi'kui'kui 天泣以其愦愦
'tian'qian'ren'ren'wei'zhi'chu 天遣仁人为之出
'tian'qian'shan'chuan'yu'ling'xiu 天遣山川毓灵秀
'tian'shang'di'xia'wu'yu'ru 天上地下吾与汝
'tian'shang'qing'feng'bu'ke'dao 天上清风不可祷
'tian'shang'zhi'wen'xi'bu'mie 天上之蚊兮不灭
'tian'sheng'nan'er'ying'ru'tie 天生男儿硬如铁
'tian'sun'miao 天孙庙
'tian'tai'shi'qiao'chun'yi'zhi 天台石桥春已知
'tian'wang'xia'zhao'yi'ri'shou 天网下罩一日收
'tian'wu'wei'yu'ben'zou'xi 天吴为余奔走兮
'tian'xia'jie'yi'xi 天下皆羿兮
'tian'xia'you'dao 天下有道
'tian'ya'qu'zhu'ge'guan'qing 天涯去住各关情
'tian'yu'di'qi'hui'bo 天与地其回薄
'tian'yu'jue'dai'pian'duo'du 天于绝代偏多妒
'tian'yu'ren'yu 天欤人欤
'tian'zi'fang'wan'she'jiao'nu 天子方弯射蛟弩
'tiao'deng'dao'jiu'xi'you'ping'sheng'huan 挑灯道旧兮犹平生欢
'tiao'gu'xi'xiang'tong 调古兮湘童
'tiao'ji'zhang'cheng'sen'lu'chi 迢及长成森露齿
'tiao'zhu'han'yu'he'keng'zheng 跳珠撼玉何铿铮
'tie'han'sheng'qin'jin'bei'xiang 铁汉生擒今北向
'ting'chan'yuan'xi'jian'cheng'ming 听潺湲兮鉴澄明
'ting'zhi'you'sheng'bai'wu'you 听之有声百无忧
'tong'dang'de'huo'qiu'yin'jiao 铜铛得火蚯蚓叫
'tong'ming'shu'chang'kai'ba'chuang 通明疏畅开八窗
'tong'shi'ci'di'qiu'er'wei'qi'chong 同虱此地球而为其虫
'tong'shi'jie'qi'zhi 同时皆弃掷
'tong'shi'peng'you'duan'wu'ren 同时朋友断无人
'tong'xiang'geng'tong'diao 同乡更同调
'tong'xin'zhi'yan'lan'she'xiang 同心之言兰麝香
'tong'yu'meng'er'xian'jue 同予梦而先觉
'tou'jiao'ying'ju'si'he'qing 投胶盈掬俟河清
'tou'lu'ban'lu'yu'wei'bian 头颅半露语未辩
'tou'shang'jie'qin'lu'jiu 头上接亲漉酒
'tou'tuo'yun'wai'duo'seng'qi 头陀云外多僧气
'tu'cheng'lue'di'zhan'wei'xi 屠城掠地战未息
'tu'dun'jia'yi'du'su'xi 徒顿驾以独宿兮
'tu'ling'tian'xia'kang'kai'shi 徒令天下慷慨士
'tu'pi'shi'yi'fen'yu'duo 土圮石攲纷欲堕
'tu'shi'xiang'xian'wei'bu'dao 土石相衔危不倒
'tu'xue'tou'sheng'ruo'lou'yi 土穴偷生若蝼蚁
'tuan'shan'fu'tuan'shan 团扇复团扇
'tuan'shan'yi'cong'zhu'wang'zhi 团扇已从蛛网织
'tui'jing'chu'er'mo'wo'zhi'xi 退静处而莫我知兮
'tui'shi'wei'yi'shi'shang'mian 退食委蛇石上眠
'tui'yin'heng'men'yi'wu'liu 退隐衡门依五柳
'tuo'chang'feng'xi'ji'xiang 托长风兮寄想
'tuo'mao'ji'zuo 脱帽箕坐
'tuo'tuo'chui'yao'ma'mei'er 橐驼垂腰马没耳
'tuo'wu'mao 脱吾帽
'wa'guan'zhu'luo'kong'chu'suo 娃馆苎萝空处所
'wa'shuo'yu'yi'kan'jing 蛙说予以坎井
'wai'jia'you'jin'yu 外家有金玉
'wai'jiao'jun'shi'fen'pi'xiu 外交军事纷貔貅
'wan'dian'nong'hua'luan'qing'zhou 万点浓花乱晴昼
'wan'fang'du'xi'san'xiu 玩芳杜兮三嗅
'wan'fu'xuan'xuan'bu'ting'chu 万夫喧喧不停杵
'wan'gong'shi'ba'bu'hao'wu 挽弓石八不好武
'wan'gu'lu'xi'feng'xiao'xiao 宛故庐兮风翛翛
'wan'gu'mo'de'er'chen'ai 万古莫得而尘埃
'wan'kou'huan'hu'xi'tian'dao 万口欢呼喜填道
'wan'lai'fang'ji'feng'xing'shan 万籁方寂风行山
'wan'li'wu'hui'zhe 万里无回辙
'wan'li'xiang'feng'lei'pang'pang 万里相逢泪滂滂
'wan'ma'tong'mo'sui'di'ang 万马同秣随低昂
'wan'ren'wu'yi'cun 万人无一存
'wan'ru'shu'lin'qu'wen'zi 挽入书林觑文字
'wan'shan'cong'cong'shi'zao'zao 万山丛丛石凿凿
'wan'sheng'se'er'bi'xing'xing'xi 翫声色而弊形性兮
'wan'shi'ya'nao'chen'huang'quan 万石压脑沉黄泉
'wan'tian'huang'zhi'bi 挽天皇之臂
'wan'wu'ke'du 万物可睹
'wan'xiang'chu'ru'xu'wu'zhong 万象出入虚无中
'wan'zhe'he'bei 挽者何悲
'wan'zhe'mai'mai 挽者迈迈
'wan'zhe'pai'huai 挽者徘徊
'wan'zhong'xin'qing'xiang'shui'yu 万种心情向谁语
'wang'bai'he'li'zhai'sui'han'ge 王柏和立斋岁寒歌
'wang'bai'he'lu'shan'gao'yun 王柏和庐山高韵
'wang'bai'huang'hua'ge 王柏黄华歌
'wang'bai'li'san'chao'feng'ai'ci 王柏李三朝奉哀词
'wang'bai'wan'shi'qian'pan 王柏挽时佥判
'wang'bai'wan'tong'shou'chen'tang'yuan 王柏挽通守陈帑院
'wang'bai'wan'wang'fu'ren 王柏挽王夫人
'wang'bai'zhu'zhao'fu'wan'xie 王柏朱昭父挽些
'wang'bo'lin'sheng'wu'wan'ci 王柏林省吾挽辞
'wang'cang'qiong'xi'tong'che 望苍穹兮痛彻
'wang'deng'jin'lin'pu'xing'xiang 网登锦鳞蒲荇香
'wang'jian'dao'xi'dai'meng'zhu 往间道兮戴盟主
'wang'lai'xian'yu'bu'ke'jiang 往来仙驭不可韁
'wang'li'xiang'guan'tian'wai'shen 望里乡关天外身
'wang'mu'hui'mei'bie'fei'qiong 王母挥袂别飞琼
'wang'qi'peng'lai'ge'miao'mang 望气蓬莱隔渺茫
'wang'qing'zhuo'mu'zuo'lou'lu 望青斫木作楼橹
'wang'ru'zhi'tu'ru'ling'kong 往汝之土汝领空
'wang'shan'fu'zhong'xi'peng'you'shi 汪山复重兮朋友失
'wang'sheng'jun'qi'heng'jiu'zhou 王甥俊气横九州
'wang'shi'jin'zui'leng'qing'jiu 往时尽醉冷卿酒
'wang'shi'peng'fu'zi'quan 王十朋夫子泉
'wang'shi'peng'gu'shi'yi'zhang 王十朋古诗一章
'wang'shi'peng'zuo'yuan'ji'yi 王十朋左原纪异
'wang'wo'yu'wang'yan'zhi'yu 忘我於忘言之域
'wang'xing'mi'lu'yu'ju'shi 忘形麋鹿与俱逝
'wang'yi'shi'zhi'yi'wo 忘一世之遗我
'wang'yin'shen'bo'shen'a'wang 妄引申伯深阿王
'wang'yuan'liang'zhao'hun'ge 汪元量招魂歌
'wang'zai'hai'bin'shi 往在海濒时
'wang'zhe'bu'ke'ji 往者不可及
'wei'bi'bu 尾毕逋
'wei'bi'gan'yu'ci'cao'zheng'gao'ming 未必敢与此草争高名
'wei'bu'kui'qi'jiang'zhong'xi 惟不亏其降衷兮
'wei'cheng'qiu'shan 未成丘山
'wei'chi'di'chu'zhen 维持帝出震
'wei'chong'neng'chong 惟虫能虫
'wei'chong'neng'tian 惟虫能天
'wei'dan'er'wu'yu'xi'si'neng'wu'qiu 惟澹而无欲兮斯能无求
'wei'di'ke'zai'tian'ke'fu 维地可载天可覆
'wei'di'yi'tian'tan 魏帝倚天叹
'wei'er'bu'fu 危而不扶
'wei'fei'yin'shi'qiu'fang'gan 未废饮食求芳甘
'wei'fo'zhi'dong'xi'sheng'shen'zhi'zhou 维佛之东兮胜神之洲
'wei'fo'zhi'xi'xi'niu'he'zhi'you 维佛之西兮牛贺之游
'wei'fo'zhi'zu'xi'mi'bu'ji 维佛之足兮靡不及
'wei'gu'cao'mang'xi'shi'nai'tian'ming 委骨草莽兮时乃天命
'wei'guan'guo 为观国
'wei'guan'kuang'zuo'ru'wu'bang 危冠匡坐如无傍
'wei'he'mo'jin'xuan'mian'gui 卫鹤莫矜轩冕贵
'wei'ji'chang'ge'yu'wo'lai 唯寄长歌与我来
'wei'jian'yin'hai'xuan'mu'guang'yao'yao 惟见银海眩目光摇摇
'wei'jun'dou'que'qi'lu'chen 为君抖却岐路尘
'wei'jun'fu'xiao'qu'jing'luo'zi 为君拂晓去京洛缁
'wei'jun'zi'ze'nai'he 为君子则奈何
'wei'kou'zhi'shi'yi'zhi'feng 为口之食衣之缝
'wei'min'fu'mu'xi 为民父母兮
'wei'pin'ruo'xi'hao'ai 谓蘋若兮蒿艾
'wei'qi'dai'biao'shou'qi'xi 为其代表首其席
'wei'qi'feng'li'wei'duo'tou 为其风力为舵头
'wei'qi'kou'fu'yu'quan'shi 唯乞口腹与权势
'wei'qi'zhi'zhi'shen 惟其知之审
'wei'qiao'yu'duo'you'di'cheng 危桥欲堕犹低撑
'wei'qiong'lai'zhi'mei'zhu 伟邛崃之美竹
'wei'qiong'zhu'zhi'fu'fu'po 惟筇竹之负涪皤
'wei'ran'nv'wa'di'zhong'wei 巍然女娲帝中闱
'wei'ren'he'qi 维人何泣
'wei'ren'qi 维人泣
'wei'ren'you'qi 维人有泣
'wei'shi'fu'mi'miao'zhi'fu'xiang 味尸腐弥渺之馥香
'wei'shi'gu'ren'jian'shui'yi 未识古人煎水意
'wei'shi'san'yi 维十三亿
'wei'shi'wu'zhi'xi 谓逝无知兮
'wei'shi'zhe'you'zhi'xi 谓逝者有知兮
'wei'shui'dong'liu'ru'hai'chao 渭水东流入海潮
'wei'shui'liu'xi'bu'ying 维水流兮不盈
'wei'tian'di'zhi'ke'zheng'xi 惟天地之可正兮
'wei'tiao'jia'er'qu'hua 委蜩甲而去化
'wei'wan'li'zhi'xian'ji 伟万里之仙骥
'wei'wen'wei'wen'ju'di'zhong 微蚊微蚊居地中
'wei'wen'wei'wen'ju'lou'zhong 微蚊微蚊聚楼中
'wei'wen'wei'wen'ru'wu'you'hu'kong'zhong 微蚊微蚊汝无游乎空中
'wei'wen'wei'wen'teng'kong'zhong 微蚊微蚊腾空中
'wei'wen'wei'wen'you'kong'zhong 微蚊微蚊游空中
'wei'wen'zhou'cong'he'fang'lai 为问舟从何方来
'wei'wo'qu'chu'feng'yu'hei 为我驱除风雨黑
'wei'wo'shi'san'yi 维我十三亿
'wei'wo'su'xin'xiang'xi'xiu 慰我素心香袭袖
'wei'xiao'you'bai'hang'zhi'shou'xi 惟孝友百行之首兮
'wei'yang'cheng'shou'tai'shang'huang 未央称寿太上皇
'wei'yin'chou'yuan'bao'shan'mu 微霠愁猿抱山木
'wei'ying'yi'wu'ming'zhi'pu 惟应以无名之朴
'wei'ying'zhi'hui'zhui'mao'pang 唯鹰之徽缀帽旁
'wei'you'fa'shu'ming'hua'ke'ba'wan 惟有法书名画可把玩
'wei'you'mo'ni'zhu 惟有摩尼珠
'wei'you'sheng'de'ke'yi'tong'qian'kun 惟有圣德可以通乾坤
'wei'you'xin'zhou'ru'xiang'zhou 惟有信州如相州
'wei'you'xu'kong'ri'yue'lun 惟有虚空日月轮
'wei'you'yi'pian'xin 惟有一片心
'wei'yu'fa'yao 为余发药
'wei'yu'lun'xie 谓余轮邪
'wei'yu'shan'xie 谓予扇邪
'wei'yu'yu'lai'qin'cha'ji 微雨欲来勤插棘
'wei'zao'hua'zhi'ming'du 维造化之螟蠹
'wei'zhen'zhi'yi'wu'ming'zhi'pu 唯镇之以无名之朴
'wen'cai'feng'liu'jin'shang'cun 文采风流今尚存
'wen'dao'ru'jin'ge'xing'san 闻道如今各星散
'wen'er'wu'wen'yue'zhen'wen 闻而无闻曰真闻
'wen'er'yi'sheng'chuang'qiong'zhu 文尔以绳床筇竹
'wen'gong'zhun'xi'zhi'you'duan 闻公窀穸之有端
'wen'hao'li'xiang'yu'shang'ye 闻嗥唳翔于垧野
'wen'ji'ren 问疾人
'wen'jiang'ru'si'nan'shan'shi 文姜辱死南山诗
'wen'jun'bu'nei'duo'le'tu 闻君部内多乐徒
'wen'jun'chuan'fang'shu'bu'mi 问君传方殊不秘
'wen'ling'huang'xi'he'zhi 问灵皇兮何之
'wen'ming'po'pi'yong'wu'di 文明破辟勇无敌
'wen'ming'yu'ruo'xin'yu'bi 文明愈弱心愈逼
'wen'ming'zhi'shuai'yi 文明之衰矣
'wen'qin'gong'xi'chun'jiang'qu 文禽共惜春将去
'wen'she'wu'suo'geng'wu'niu 问舍无所耕无牛
'wen'tian'xiang'shu'wang'shui'yun'shi'hou 文天祥书汪水云诗后
'wen'tian'xiang'si'xiao'cun 文天祥思小村
'wen'tian'xiang'wei'fu'chang'ju 文天祥为赋长句
'wen'tian'xiang'xu'zhou'dao'zhong 文天祥徐州道中
'wen'tian'xiang'zeng'shu'pian'yun 文天祥赠舒片云
'wen'wu'zhong'yi 文武忠懿
'wen'yi'ze'xi'shu'yu 闻易箦兮数语
'wen'you'ni'chang'wu'zhe'wu 问有霓裳舞者无
'wen'zhang'xian'na'qi'lin'dian 文章献纳麒麟殿
'wo'ai'ni'chang'jun'he'zhi 我爱霓裳君合知
'wo'bu'zhi'wo'zai'san'qian'da'qian'nei 我不知我在三千大千内
'wo'bu'zhi'wo'zai'shi'er'wan'nian'hou 我不知我在十二万年后
'wo'fa'bu'hu'wo'ruo'pin 我法不护我弱贫
'wo'fang'du'fang'dan'zhi'fu'man'xing'nang 我防毒防弹之服满行囊
'wo'fei'shang'bei'xi 我非伤悲兮
'wo'gong'bi'shi'ren'mo'ji 我公笔势人莫及
'wo'gong'jiu'yi'he'cong'rong 我公就义何从容
'wo'gong'zhi'dao'shu 我躬之道术
'wo'guan'bu'zhi'wo'min'sheng 我官不治我民生
'wo'hang'ding'yi'yi 我行定已矣
'wo'hang'wo'hang'xi'meng'mei'suo'si 我行我行兮梦寐所思
'wo'hu'wei'hu'sheng'zi 我胡为乎生子
'wo'hu'wei'hu'sheng'zi'yu'ci'shi 我胡为乎生子于此时
'wo'ji'tian'she'wu'zao'kang 我饥田舍无糟糠
'wo'ji'wei'wan'qing'zhi'xia'ou 我既为万顷之狎鸥
'wo'jin'bian'yu'yi'shui'kan'shi'ri 我今便欲一水看十日
'wo'jin'juan'you'si'gu'xiang 我今倦游思故乡
'wo'jin'pin'bing'chang'ku'ji 我今贫病长苦饥
'wo'jin'po'yu'pan'gu'tong 我今颇与盘古同
'wo'jing'chi'qiang'bu'sha'zei 我警持枪不杀贼
'wo'jun'sui'zhong'wu'dou'zhi 我军虽众无斗志
'wo'lai'he'wei 我来何为
'wo'lai'zhuo'quan'reng'kou'tou 我来酌泉仍叩头
'wo'lao'ning'kan'er'wei'lei 我老甯堪尔为累
'wo'lian'ku'jie'xie'ren'qing 我怜酷解写人情
'wo'niu'zhi'xi'liao'ji 沃牛炙兮疗饥
'wo'qi'wei'jun'ge 我其为君歌
'wo'qu'wo'yao'yan'zi'zhi'ji'shang 我屈我腰验子之既殇
'wo'ri'hu'wei'bu'zhu'wo'qian'kun 我日胡为不烛我乾坤
'wo'shao'gong'xi'liu'sui 我少公兮六岁
'wo'shen'you'fu'hai'you'mu 我身有傅还有姆
'wo'shi'ren'jian'bai'sui'ren 我是人间百岁人
'wo'si'wu'dai'ru'tan'tang 我思五代如探汤
'wo'wei'jian'zhi'zhao'zhong'hun 我为剪纸招忠魂
'wo'wen'gu'ren'shi'ri'hua'yi'shui 我闻古人十日画一水
'wo'wen'qin'wang'nv'er'chui'feng'xiao 卧闻秦王女儿吹凤箫
'wo'wu'jiu'niu'yi'mao'chuang 我无九牛一毛创
'wo'xi'ceng'guan'jie'shi'yu'zhi'fu 我昔曾观碣石与之罘
'wo'xi'you'yi'niu 我昔有一牛
'wo'xi'yuan'he'shi'xian'huang 我昔元和侍宪皇
'wo'xiu'bu'xi'yi'jun'zhi'ju'lai 我羞哺兮以君之鉏来
'wo'xue'yi'pi'kui'yi'gang 我靴以皮盔以钢
'wo'yao'feng'you'bu'zhi 我尧封忧不止
'wo'ye'shi'zhi'jing'sheng'qi'guang 我夜视之镜生奇光
'wo'ye'zhi'lao'zuo'qi'chuang 我野之老坐悽怆
'wo'yi'qi'du'lian'dan'qing 我意岂独怜丹青
'wo'yin'yi'jin'ren 我因一今人
'wo'you'tan'ke'gao'ru'lou'fang 我有坦克高如楼房
'wo'yu'bei'lin'huang'he'guan'yu'gong 我欲北临黄河观禹功
'wo'yu'ren'xian'chu'shi'lan 我于人闲触事懒
'wo'yu'xie'zhi'chao'tai'qing 我欲携之朝太清
'wo'yu'yin'zhi'wen'pan'gu 我欲因之问盘古
'wo'yuan'pi'ma'fei'teng'bian'jiu'zhou 我愿匹马飞腾遍九州
'wo'yuan'yin'zhi'ji'qian'li 我愿因之寄千里
'wo'zhi'er'zi'shu'feng'lei 我知二子属风雷
'wo'zi'wei'wo'min'wei'er 我自为我民为尔
'wo'zong'zuo'zhi'dong'nan'fan 我宗坐制东南藩
'wo'zu'kai'ji'zi'jiang'du 我祖开基自江渡
'wo'zuo'ai'zhang'lei'qi'chuang 我作哀章泪凄怆
'wu'bu'ji'luo'ye'zhi'ren 吾不及落叶之仁
'wu'bu'luan'er'han'yu 吾不乱尔寒燠
'wu'bu'ren'gai'qi'ci'pei 吾不忍改其此佩
'wu'bu'ren'meng'ci'chai'ye 吾不忍幪此虿也
'wu'bu'ren'ren'zhi'lin 乌哺仁人之林
'wu'bu'sui'er'chi'zhu 吾不随尔驰逐
'wu'chai'xiang'feng'zhi'shi'shi 吾侪相逢置是事
'wu'chang'guan'yu'ruo'ren'yi 吾尝观於若人矣
'wu'chang'yi'qun'fang 吾尝挹群芳
'wu'cheng'shi'er'lou 五城十二楼
'wu'dan'guai'qi'duo'neng'bu'qiong 吾但怪其多能不穷
'wu'deng'gong'hou'chou'er'yong 五等公侯酬尔庸
'wu'ding'wu'xin'qing'wang'si 五鼎无心轻网丝
'wu'dui'yu'tian'xia'xi 无对於天下兮
'wu'fen'mu'ke'rong 无坟墓可容
'wu'fu'nang'shi'zhi'lv'sheng 无复曩时之履声
'wu'geng'feng'yu'shi'ba'jiu 五更风雨十八九
'wu'gong'wan'hu'fei'hui'yan 吴宫万户飞灰烟
'wu'gu'zhi'cang'yu'tian'zhe'zhi'jing 吾固知藏於天者至精
'wu'hou'tai'yang'duo'di'kao 午后太阳堕地烤
'wu'hu 呜呼
'wu'hu'ba'ge'xi'ge'zhuan'ji 呜呼八歌兮歌转急
'wu'hu'duan'shi'wan'sheng'qi 乌虖端是万乘器
'wu'hu'er'ge'xi'ge'fu'yi 呜呼二歌兮歌复忆
'wu'hu'jiu'ge'xi'ge'shi'fang 呜呼九歌兮歌始放
'wu'hu'liu'ge'xi'ge'yu'can 呜呼六歌兮歌欲残
'wu'hu'qi'ge'xi'ge'bu'zu 呜呼七歌兮歌不足
'wu'hu'san'ge'xi'ge'sheng'yan 呜呼三歌兮歌声咽
'wu'hu'si'ge'xi'ge'yu'kuang 呜呼四歌兮歌欲狂
'wu'hu'wei'dai'jiang'wei'jin 五湖为带江为襟
'wu'hu'wu'ge'xi'ge'sheng'ku 呜呼五歌兮歌声苦
'wu'hu'yi'ge'xi'ge'wu'qiong 呜呼一歌兮歌无穷
'wu'hu'zhu'ren'jin'hu'shou 呜呼主人谨护守
'wu'huai'shi'zhi'min 无怀氏之民
'wu'ji'shi'yi'qi'yu'chu'pu 吾既视奕棋与摴蒲
'wu'ji'yan'hua'zai'niu'ji 午饥眼花在牛脊
'wu'ji'yu'you'bu'luan'xing 无机与游不乱行
'wu'ji'zi 吴季子
'wu'jian'wan'ling'chao'ming'ting'xi 吾见万灵朝明庭兮
'wu'jiang'an'su 吾将安诉
